cavename,n,m,num_connected_components,spectral_radius,algebraic_connectivity,normalized_algebraic_connectivity,graph_energy,laplacian_energy,estrada_index,kirchhoff_index,num_spanning_trees,status
GouffreDejaVu,11.0,3.0,8.0,1.7320508075688772,0.0,1.0,3.4641016151377544,8.727272727272727,14.829154880351856,,0.0,computed_or_partially_computed
Migovec,896.0,921.0,8.0,3.0843645275546185,0.0,6.960986374700235e-05,1037.3187558691586,1430.6057056868171,2238.5204370804117,,0.0,computed_or_partially_computed
Criou,576.0,567.0,27.0,2.8085632276742887,-1.9157852387818863e-16,-2.8741877065820707e-16,662.4755657227965,886.8474355776159,1385.6952622532742,,0.0,computed_or_partially_computed
Matienzo,,,,,,,,,,,,skipped_because_original_too_large
Sakany,410.0,434.0,19.0,3.2516763759610003,-2.1434405702652165e-16,-3.849969661818567e-16,485.51306875692705,660.5878683184926,1063.9014271306673,,0.0,computed_or_partially_computed
ReveEveille,11.0,3.0,8.0,1.7320508075688772,0.0,1.0,3.4641016151377544,8.727272727272727,14.829154880351856,,0.0,computed_or_partially_computed
Tsanfleuron,231.0,199.0,35.0,2.6339247707015696,-4.872931841159523e-16,-3.0848725077698185e-16,240.7514266010945,332.4284494059111,504.56228728126916,,0.0,computed_or_partially_computed
UltimaPatagonia,1025.0,961.0,107.0,3.277532003816618,-1.1703739556871594e-15,-9.529074204730815e-16,1120.006222777647,1547.2675837262273,2390.5952075605187,,0.0,computed_or_partially_computed
Folly,,,,,,,,,,,,skipped_because_original_too_large
PlaninaPoljana,1295.0,1226.0,102.0,3.095655088424546,-5.551115123125783e-16,-5.9761223747401e-16,1429.7381880924154,1963.3585914765317,3045.6829061507874,,0.0,computed_or_partially_computed
BreznoNaToscu,44.0,37.0,7.0,2.4241543463434896,0.0,0.008403353473831594,43.64345975081384,66.46665595282987,95.12952752309636,,0.0,computed_or_partially_computed
PokljuskegaGrebena,465.0,472.0,10.0,3.1357322769892777,-6.4497524132502575e-16,-1.899522206926501e-16,532.8863791956792,740.0618078523685,1148.7723443942364,,0.0,computed_or_partially_computed
BurringtonCombe,687.0,720.0,22.0,3.479949065636234,-1.2113487947560586e-15,-3.903127820947816e-16,791.5927114391086,1133.585479171153,1799.1789431253765,,0.0,computed_or_partially_computed
CheddarCatchment,1640.0,1656.0,60.0,3.2495398430712017,-1.4918621893402626e-15,-1.1250122198842166e-15,1881.0384801785367,2590.3913860919456,4053.089053257683,,0.0,computed_or_partially_computed
CountyClare,,,,,,,,,,,,skipped_because_original_too_large
CountyMayo,173.0,167.0,15.0,3.0820512304939185,-4.02455904856346e-16,-5.901187065757955e-16,193.18472248980123,270.1332958171914,418.1788884233647,,0.0,computed_or_partially_computed
LittleNeathRiver,184.0,194.0,7.0,2.972319731549811,0.0,7.518942066186973e-17,215.2797912228437,298.09610403822444,479.38245748989897,,0.0,computed_or_partially_computed
Lathkill,141.0,132.0,11.0,2.7449314234519253,0.0,-1.8123617218287482e-16,150.46535615784325,217.88332060320286,331.28930074836643,,0.0,computed_or_partially_computed
Loser,,,,,,,,,,,,skipped_because_original_too_large
Vanoise,114.0,102.0,18.0,2.683489669013455,0.0,0.0,124.89602597392135,164.70578392809173,258.4672449094261,,0.0,computed_or_partially_computed
Glacier,202.0,229.0,8.0,3.03323854557805,0.0,0.0028542500650130527,246.4202932418557,333.0411443026232,555.2372766015587,,0.0,computed_or_partially_computed
CombeBryon,69.0,67.0,8.0,2.7865861162378267,0.0,0.004591664234027741,75.87196199725125,109.37892582948973,168.04823365580577,,0.0,computed_or_partially_computed
Charbonniere,11.0,3.0,8.0,1.7320508075688772,0.0,1.0,3.4641016151377544,8.727272727272727,14.829154880351856,,0.0,computed_or_partially_computed
Lajoux,65.0,58.0,7.0,2.6322608035862642,0.0,0.0071229878998834584,67.84204597241903,100.94970435206424,146.48170287993446,,0.0,computed_or_partially_computed
PuitsWilly,11.0,3.0,8.0,1.7320508075688772,0.0,1.0,3.4641016151377544,8.727272727272727,14.829154880351856,,0.0,computed_or_partially_computed
CreuxDEntier,59.0,56.0,8.0,2.9941187359824504,0.0,0.015855816026297175,62.70135471196285,97.38338644573258,143.707146634322,,0.0,computed_or_partially_computed
NarinesBoeuf,40.0,33.0,8.0,2.5295822714854626,0.0,0.015089204714786936,38.38682379912318,60.805974468226,85.90434814944922,,0.0,computed_or_partially_computed
RougeEau,41.0,33.0,8.0,2.4343540088351316,0.0,0.012145301062584603,38.82427746275536,61.43738775225826,86.56489756208661,,0.0,computed_or_partially_computed
DYO,1193.0,1194.0,6.0,3.976655395175857,0.0,4.180264848205761e-05,1117.693553563367,2142.9234243589417,3279.4016981256036,,0.0,computed_or_partially_computed
FermanagAndCavan,74.0,69.0,7.0,2.9632532643282397,0.0,0.005087941158566904,77.11660988930365,119.46061632386166,176.28703357348672,,0.0,computed_or_partially_computed
WestKingsdale,270.0,262.0,20.0,3.2429043012090437,-5.551115123125783e-16,-3.330669073875481e-16,296.74317087865484,425.81659933825983,657.6833714150546,,0.0,computed_or_partially_computed
